latitude,longitude,title,link
40.7638030271664,-73.0247966786713,Food Done It,https://www.publicsquare.com/featured/marketplace/646f402be919a00011541880
40.7001396608784,-73.9074048205845,Cantina 33,https://www.publicsquare.com/featured/marketplace/698425b9-95e3-11ec-afcf-50eb7179fd78
40.8618245285801,-73.5346261086985,Dels Bar & Grill,https://www.publicsquare.com/featured/marketplace/65adbbc0-cf3e-11ed-944b-8f6627270e47
40.6787713940041,-73.8877066010723,El Ambiente,https://www.publicsquare.com/featured/marketplace/b06f3430-023a-11ed-8eb5-3911665d0e94
40.6702193628018,-73.5279960741875,Energy Fuel Healthy Grill & Juice Bar,https://www.publicsquare.com/featured/marketplace/38ff2e10-467c-11ed-a372-9f27f7ebf376
40.7197076932455,-73.9887475779103,Izakaya Juraku,https://www.publicsquare.com/featured/marketplace/d13cd3f0-af5c-11ed-9949-4134ac9e063a
40.7567977423284,-73.5651377304705,Juniors westbury hero shop ,https://www.publicsquare.com/featured/marketplace/64862ef4bb86c60012b2a287
40.7124089911871,-73.9060358189339,La Casita Mexicana,https://www.publicsquare.com/featured/marketplace/3de8a890-c014-11ed-8315-853c2d99a8ab
40.8368198879958,-73.0464835366895,Laroma pizza corp,https://www.publicsquare.com/featured/marketplace/5f7e8800-2732-11ee-bdb9-3b27e9da3bcc
40.7223031265238,-73.6885522757361,Little Lorenzo's Italian Deli & Catering,https://www.publicsquare.com/featured/marketplace/b90eae40-da62-11ec-ac3f-f3055c88f175
40.6967421495351,-73.3215042000666,Mack’s,https://www.publicsquare.com/featured/marketplace/379b1880-44d8-11ee-8bf5-f37357f3f124
40.7904152790742,-73.4162480648976,Melville Deli,https://www.publicsquare.com/featured/marketplace/c538dbbc-1f73-11ed-9009-50eb7179fd78
40.7592106776629,-73.991699766318,Patron Mexican grill,https://www.publicsquare.com/featured/marketplace/05bfde60-c015-11ed-a416-07e9294e9f7a
40.7675673806124,-73.5222241999999,Peppercorns Restaurant & Catering,https://www.publicsquare.com/featured/marketplace/373ca1e0-cf05-11ed-944b-8f6627270e47
40.7706423174381,-73.8902074883433,Piu Bella Pizza and Restaurant,https://www.publicsquare.com/featured/marketplace/7b370860-db7a-11ec-a414-31f00331eb15
40.7601183137238,-73.8919500593825,Plaka Restaurant,https://www.publicsquare.com/featured/marketplace/2c2900a9-4b27-11ed-b218-50eb7179fd78
40.797903688064,-73.1197132832835,Pond deli and fresh bagels smoke shop minimart,https://www.publicsquare.com/featured/marketplace/527364b0-dc72-11ed-adb1-4b41f6cefd48
40.7162436893455,-73.4614147805895,Prepared Meals LI,https://www.publicsquare.com/featured/marketplace/647c7e326e661c001220f0fb
40.7508637662033,-73.9839747633547,Reichenbach Hall,https://www.publicsquare.com/featured/marketplace/e96eefc0-23f7-11ee-9804-c37c15086ef4
40.7760713612209,-73.4734966115361,Sababa Pizza,https://www.publicsquare.com/featured/marketplace/38b59bd0-b3b2-11ed-8982-8d04f0778af9
40.9304042416644,-73.0538439725684,Station Coffee Shop,https://www.publicsquare.com/featured/marketplace/4ca3b4b0-69dd-11ee-8674-e3da76a110e2
40.6597636991697,-73.7030508568522,Wings Over - Valley Stream,https://www.publicsquare.com/featured/marketplace/5a22a280-e1cc-11ec-af0a-edee10f1e840
40.7208966666678,-73.9968435900739,madhufalla,https://www.publicsquare.com/featured/marketplace/96f29640-0f22-11ef-be7d-d5143c4a3139
40.8421055338792,-73.2957992531934,Belgiorno Family Mobile Wood Fired Pizza,https://www.publicsquare.com/featured/marketplace/900fbf1a-7781-11ed-8853-50eb7179fd78
40.7488817502043,-73.6582557411448,Dominick's Italian American Deli,https://www.publicsquare.com/featured/marketplace/647df348145c120012ae82e6
40.8208617232616,-73.8980285271869,Cancun Deli Grocery ,https://www.publicsquare.com/featured/marketplace/ead18610-433d-11ee-99f1-27b8074c54e7
40.6774462215776,-73.9827361232296,Brownstone Bagels,https://www.publicsquare.com/featured/marketplace/646f3be51ac65600125bb982
40.9263868656283,-72.7861718588994,SQUARED GF,https://www.publicsquare.com/featured/marketplace/cb318390-95f5-11ee-8594-0179800b6058
,,Tasty Bagels,https://www.publicsquare.com/featured/marketplace/da1df170-45c6-11ed-8e5c-dde8f301cc08
